Informe de película
--------------------
FotogramaFotograma #    Fotograma Bytes    Total Bytes    Página
--------------------    ---------------    -----------    -----------------
    1           138            138        Scene 1
    2           276            414          2
    3           441            855          3
    4           119            974          4
    5            15            989          5
    6           334           1323          6
    7           195           1518          7
    8            82           1600          8
    9          2182           3782          9
   10           116           3898          10
   11            15           3913          11
   12          4437           8350          12
   13             2           8352          13
   14            62           8414          14
   15            83           8497          15
   16            62           8559          16
   17            62           8621          17
   18            63           8684          18
   19            62           8746          19
   20            62           8808          20
   21            65           8873          21
   22            81           8954          22
   23            68           9022          23
   24            82           9104          24
   25           597           9701          25
   26            69           9770          26
   27            68           9838          27
   28            69           9907          28
   29            69           9976          29
   30            69          10045          30
   31            69          10114          31
   32            89          10203          32
   33           306          10509          33
   34           694          11203          34
   35           102          11305          35
   36            84          11389          36
   37           116          11505          37
   38           146          11651          38
   39           145          11796          39
   40           134          11930          40
   41           165          12095          41
   42           143          12238          42
   43           162          12400          43
   44           143          12543          44
   45           164          12707          45
   46           138          12845          46
   47           170          13015          47
   48           149          13164          48
   49           169          13333          49
   50           149          13482          50
   51           200          13682          51
   52           179          13861          52
   53           154          14015          53
   54           130          14145          54
   55           152          14297          55
   56           148          14445          56
   57           169          14614          57
   58           152          14766          58
   59           182          14948          59
   60           169          15117          60
   61           186          15303          61
   62           143          15446          62
   63           161          15607          63
   64           140          15747          64
   65           149          15896          65
   66           100          15996          66
   67            82          16078          67
   68            53          16131          68
   69            69          16200          69
   70            49          16249          70
   71            97          16346          71
   72            86          16432          72
   73            63          16495          73
   74            67          16562          74
   75            63          16625          75
   76           266          16891          76
   77           220          17111          77
   78           224          17335          78
   79           220          17555          79
   80           224          17779          80
   81           220          17999          81
   82           220          18219          82
   83           220          18439          83
   84           220          18659          84
   85           220          18879          85
   86           210          19089          86
   87           190          19279          87
   88           212          19491          88
   89           213          19704          89
   90           198          19902          90
   91           154          20056          91
   92           185          20241          92
   93           185          20426          93
   94           185          20611          94
   95           185          20796          95
   96           185          20981          96
   97           185          21166          97
   98           186          21352          98
   99           186          21538          99
  100           186          21724          100
  101           186          21910          101
  102           186          22096          102
  103           186          22282          103
  104           241          22523          104
  105           149          22672          105
  106           117          22789          106
  107           107          22896          107
  108            87          22983          108
  109            98          23081          109
  110            98          23179          110
  111            98          23277          111
  112           116          23393          112
  113           143          23536          113
  114           169          23705          114
  115           132          23837          115
  116           132          23969          116
  117            97          24066          117
  118            77          24143          118
  119            77          24220          119
  120            74          24294          120
  121            47          24341          121
  122            47          24388          122
  123            47          24435          123
  124            47          24482          124
  125            47          24529          125
  126            47          24576          126
  127            47          24623          127
  128            37          24660          128
  129            17          24677          129
  130            17          24694          130
  131            13          24707          131
  132             2          24709          132
  133             2          24711          133
  134             2          24713          134
  135            15          24728          135

Página                       Forma Bytes    Texto Bytes
-------------------------    -----------    -----------
Scene 1                           0           205

Página                       Símbolo Bytes    Texto Bytes
-------------------------    -------------    -----------
1sakura                           0             0
4.0                               0            35
45bar                            56             0
around sakura                     0             0
ball                             64             0
Bestview                          0            55
Blue ring                       160             0
button motion                     0             0
color circle                    136             0
complex 45                        0             0
drop ball                         0             0
e                                 0             0
enter indicator                   0             0
Explorer                          0            46
fallen sakura                     0             0
Green ring                       90             0
human cycle                       0             0
Internet                          0            49
invisible button                 73             0
line                             35             0
linesakura                       70             0
linesakuramov                     0             0
loading content                   0            62
loading sakura                    0            61
main button                       0             0
Microsoft                         0             0
press!                            0            48
round route                     209             0
sakura motion                     0             0
sakura1                          69             0
sakura2                          72             0
sakura3                          57             0
sakura4                          68             0
This Site                         0            46
welcome                           0            48


Nombre de sonido                 Bytes        Formato    
-----------------------------    ---------    -----------
Arial Black                   745        Regiorst
Arial Black Negrilla          891         .01DGeinost
Arial Negrilla                 20        
Arial                          20        
